feature,importance
sp500 volume_lag5,0.034329298088391975
palladium low_lag1,0.034103950021836096
CPI_lag1,0.03382552992836019
palladium open_roll_mean14,0.033567976089933865
nasdaq low,0.03335953514468131
palladium low_roll_mean3,0.031774300710342526
usd_chf_roll_mean14,0.030791605721769807
sp500 high-low,0.03056201481128931
silver high-low,0.029736617080037286
eur_usd_roll_mean7,0.029356843334482206
palladium close_roll_mean3,0.02903656061296502
platinum volume_lag2,0.029009956748876888
palladium volume_lag2,0.027920698219235752
nasdaq high-low_lag1,0.02708932166382175
sp500 low_lag1,0.02701570249546327
GDP_roll_mean3,0.026390836241626643
platinum close_roll_mean3,0.026024805212802222
usd_chf_roll_mean7,0.0251038119524534
platinum volume_lag1,0.0249715580196615
oil low_lag2,0.02384988375444992
palladium high-low,0.02370686420315619
platinum close_lag2,0.023442781400259773
silver close_roll_mean7,0.023442467854311855
palladium close_roll_mean7,0.023201210741271433
platinum high_roll_mean7,0.022509289570296076
silver high,0.022353498197388577
sp500 close_lag5,0.02230632964614961
nasdaq high_roll_mean7,0.021909845881379487
silver high_lag5,0.021847906334576377
palladium high_roll_mean7,0.021672097380825307
nasdaq high-low_roll_mean7,0.02146692155664808
platinum high-low,0.020990191302960086
nasdaq close_roll_mean3,0.02095603056316755
oil close_roll_mean14,0.02076848184373218
platinum volume_roll_mean7,0.020756292329366006
platinum high-low_lag2,0.01987229232481967
silver volume_lag1,0.019715422499326236
usd_chf_lag2,0.01881572055883137
platinum low,0.018220076033056275
nasdaq volume_roll_mean7,0.01821961048863608
palladium close,0.017721072641033203
nasdaq close,0.01721524597837951
sp500 high-low_roll_mean3,0.017194490508696623
sp500 volume_roll_mean7,0.01718865832276413
sp500 open,0.01698630262713943
palladium open_lag2,0.016821948291051464
nasdaq high-low_lag5,0.01666811020761709
platinum open,0.016344443549466268
silver close_lag5,0.0158929609157165
nasdaq volume,0.01582375308516143
platinum high-low_roll_mean14,0.015808189699656784
us_rates_%_roll_mean7,0.015756982488012942
platinum open_roll_mean14,0.015219749718828699
platinum high,0.015104487267314334
platinum volume_roll_mean3,0.014950742674033752
CPI_lag5,0.014877910761412587
palladium low,0.014611287609432698
palladium high-low_roll_mean14,0.014495278889477495
palladium volume,0.014060909559722742
sp500 volume_roll_mean14,0.013776218390354533
CPI_roll_mean14,0.01363133841911934
silver high-low_roll_mean14,0.013309149507404418
silver low_lag5,0.013079133697535958
palladium low_lag2,0.012986623172446494
platinum volume,0.012733834837987625
nasdaq high_lag2,0.012710684941019533
silver close_roll_mean14,0.012668172479925304
sp500 open_roll_mean3,0.012661207652627612
silver volume_roll_mean3,0.01263454057275136
oil high-low,0.012617444421576947
gold volume_lag2,0.011861815795448769
platinum high_lag1,0.011745633887933392
eur_usd_roll_mean3,0.011302882807632484
nasdaq close_lag2,0.011040602171191112
oil volume_roll_mean3,0.011008883937711145
silver high-low_roll_mean3,0.010175009122640343
gold volume_lag5,0.01010060307358896
silver high_roll_mean3,0.009989823284512526
silver open_lag2,0.009926433255881224
silver volume_lag2,0.00973425445207819
nasdaq close_lag1,0.009733393487535212
palladium low_lag5,0.00960731354821393
nasdaq open_roll_mean3,0.009457502129277498
oil high-low_roll_mean7,0.009395691015598374
sp500 volume,0.009123866079115221
oil high-low_lag5,0.009090689923174907
sp500 low_lag2,0.008544983462166186
oil volume_lag2,0.008502158259107068
sp500 close_roll_mean7,0.008478267085632455
oil high_lag5,0.008473479769362245
oil low_roll_mean14,0.008436047195816624
palladium high_roll_mean3,0.008429553703364024
platinum high_lag5,0.008127563117240276
oil high_lag1,0.00801415664456643
silver low_lag2,0.007790264739360502
platinum close_lag1,0.007646219095490568
oil open_lag5,0.007389967831457625
silver high_roll_mean7,0.0073700284191697855
eur_usd_lag2,0.007319279162778051
sp500 high_roll_mean7,0.007304415021932207
nasdaq high_lag5,0.0071639889248245915
GDP_lag5,0.0071493457318292436
sp500 high-low_lag2,0.007119390752521587
oil high-low_roll_mean3,0.007027675095149844
platinum volume_lag5,0.006956161163854818
sp500 low,0.00691986910694701
sp500 low_roll_mean7,0.006916406526959964
sp500 high_lag2,0.006766790713497006
platinum open_lag5,0.0064337096673371865
nasdaq volume_lag5,0.006361047584564847
sp500 volume_roll_mean3,0.006271785100970179
silver volume_lag5,0.0062070173639942276
oil high-low_lag2,0.0061441584742183315
nasdaq low_lag5,0.006013109211615629
sp500 high_lag5,0.005996038105237347
platinum low_lag5,0.005963399097691109
oil open,0.005932481687708355
nasdaq low_roll_mean7,0.005916728929712665
nasdaq high-low_roll_mean14,0.0058394698562677675
